city_eng|country_eng|iata_code|name_eng
Anaa|French Polynesia|AAA|Anaa
Arrabury|Australia|AAB|Arrabury
Al Arish|Egypt|AAC|Al Arish International Airport
Ad-Dabbah|Sudan|AAD|Ad-Dabbah
Annaba|Algeria|AAE|Les Salines
Apalachicola|United States|AAF|Municipal
Arapoti|Brazil|AAG|Arapoti
Aachen|Germany|AAH|Aachen/Merzbruck
Arraias|Brazil|AAI|Arraias
Awaradam|Suriname|AAJ|Cayana Airstrip
Aranuka|Kiribati|AAK|Aranuka
Aalborg|Denmark|AAL|Aalborg
Mala Mala|South Africa|AAM|Mala Mala
Al Ain|United Arab Emirates|AAN|Al Ain
Anaco|Venezuela|AAO|Anaco
Houston, TX|United States|AAP|Andrau Airpark
Anapa|Russian Federation|AAQ|Vityazevo
Aarhus|Denmark|AAR|Aarhus Airport
Apalapsili|Indonesia|AAS|Apalapsili
Altay|China|AAT|Altay
Asau|Samoa|AAU|Asau
Surallah|Philippines|AAV|Allah Valley
Abbottabad|Pakistan|AAW|Abbottabad
Araxa|Brazil|AAX|Araxa
Al Ghaydah|Yemen|AAY|Al Ghaydah
Ambriz|Angola|AAZ|Ambriz
Abakan|Russian Federation|ABA|Abakan
Abingdon|United Kingdom|ABB|RAF Station
Albacete|Spain|ABC|Los Llanos
Abadan|Iran|ABD|Abadan
Abaiang|Kiribati|ABF|Abaiang
Abingdon|Australia|ABG|Abingdon
Alpha|Australia|ABH|Alpha
Abilene|United States|ABI|Municipal
Abidjan|Cote D&#039;Ivoire|ABJ|Felix Houphouet Boigny
Kabri Dar|Ethiopia|ABK|Kabri Dar
Ambler|United States|ABL|Ambler
Bamaga, Queensland|Australia|ABM|Bamaga Injinoo
Albina|Suriname|ABN|Albina
Aboisso|Cote D&#039;Ivoire|ABO|Aboisso
Atkamba|Papua New Guinea|ABP|Atkamba
Albuquerque|United States|ABQ|Albuquerque International
Aberdeen|United States|ABR|Municipal
Abu Simbel|Egypt|ABS|Abu Simbel
Al-Baha|Saudi Arabia|ABT|Al-Aqiq
Atambua|Indonesia|ABU|Atambua
Abuja|Nigeria|ABV|Nnamdi Azikiwe International Airport
Abau|Papua New Guinea|ABW|Abau
Albury|Australia|ABX|Albury
Albany|United States|ABY|Dougherty County
Aberdeen|United Kingdom|ABZ|Dyce
Bellaire|United States|ACB|Antrim County
Accra|Ghana|ACC|Kotoka
Acandi|Colombia|ACD|Acandi
Arrecife|Spain|ACE|Lanzarote
Altenrhein|Switzerland|ACH|Altenrhein
Alderney|United Kingdom|ACI|The Blaye
Anuradhapura|Sri Lanka|ACJ|Anuradhapura
Nantucket|United States|ACK|Nantucket Memorial
Aguaclara|Colombia|ACL|Aguaclara
Arica|Colombia|ACM|Arica
Ciudad Acuna|Mexico|ACN|International
Ascona|Switzerland|ACO|Ascona
Sahand|Iran|ACP|Sahand
Araracuara|Colombia|ACR|Araracuara
Achinsk|Russian Federation|ACS|Achinsk
Waco|United States|ACT|Municipal
Achutupo|Panama|ACU|Achutupo
Arcata|United States|ACV|Arcata
Xingyi|China|ACX|Xingyi
Atlantic City|United States|ACY|Atlantic City Intl
Zabol|Iran|ACZ|Zabol A/P
Adana|Turkey|ADA|Adana
Izmir|Turkey|ADB|Adnan Menderes
Andakombe|Papua New Guinea|ADC|Andakombe
Addis Ababa|Ethiopia|ADD|Bole International
Aden|Yemen|ADE|International
Adiyaman|Turkey|ADF|Adiyaman
Adrian|United States|ADG|Lenawee County
Aldan|Russian Federation|ADH|Aldan
Arandis|Namibia|ADI|Arandis
Amman|Jordan|ADJ|Marka International Airport
Adak Island|United States|ADK|Adak Island NS
Adelaide|Australia|ADL|Adelaide International Airport
Ardmore|United States|ADM|Ardmore Municipal Arpt
Andes|Colombia|ADN|Andes
Andamooka|Australia|ADO|Andamooka
Ampara|Sri Lanka|ADP|Ampara
Kodiak|United States|ADQ|Kodiak Airport
Andrews|United States|ADR|Andrews
Dallas|United States|ADS|Addison Airport
Ada|United States|ADT|Ada
Ardabil|Iran|ADU|Ardabil
Andover|United Kingdom|ADV|Andover
Camp Springs|United States|ADW|Andrews AFB
St Andrews|United Kingdom|ADX|Leuchars
Alldays|South Africa|ADY|Alldays
San Andres Island|Colombia|ADZ|San Andres Island
Abemama Atoll|Kiribati|AEA|Abemama Atoll
Aleneva|United States|AED|Aleneva
Aek Godang|Indonesia|AEG|Aek Godang
Abecher|Chad|AEH|Abecher
Algeciras|Spain|AEI|Algeciras
Aseki|Papua New Guinea|AEK|Aseki
Albert Lea|United States|AEL|Albert Lea
Aioun El Atrouss|Mauritania|AEO|Aioun El Atrouss
Buenos Aires|Argentina|AEP|Arpt. Jorge Newbery
Adler|Russian Federation|AER|Adler - Sochi
Aalesund|Norway|AES|Vigra
Allakaket|United States|AET|Allakaket
Abu Musa|Iran|AEU|Abu Musa
Alexandria, LA|United States|AEX|Alexandria International
Akureyri|Iceland|AEY|Akureyri
San Rafael|Argentina|AFA|San Rafael
Port Alfred|South Africa|AFD|Port Alfred
Colorado Springs|United States|AFF|USAF Academy Airstrip
Amalfi|Colombia|AFI|Amalfi
Ampara|Sri Lanka|AFK|Kondavattavan Tank
Alta Floresta|Brazil|AFL|Alta Floresta
Jaffrey|United States|AFN|Municipal
Afton|United States|AFO|Municipal
Afore|Papua New Guinea|AFR|Afore
Zarafshan|Uzbekistan|AFS|Zarafshan
Afutara|Solomon Islands|AFT|Afutara Aerodrome
Fort Worth, TX|United States|AFW|Fort Worth Alliance
Afyon|Turkey|AFY|Afyon
Sabzevar|Iran|AFZ|Sabzevar
Agadir|Morocco|AGA|Agadir Almassira
Munich|Germany|AGB|Augsburg - Muehlhausen
Pittsburgh|United States|AGC|Allegheny County
Anggi|Indonesia|AGD|Anggi
Wangerooge|Germany|AGE|Flugplatz
Agen|France|AGF|La Garenne
Angoram|Papua New Guinea|AGG|Angoram
Angelholm/Helsingborg|Sweden|AGH|Angelholm
Wageningen|Suriname|AGI|Wageningen
Aguni|Japan|AGJ|Aguni
Kagua|Papua New Guinea|AGK|Kagua
Wanigela|Papua New Guinea|AGL|Wanigela
Tasiilaq|Greenland|AGM|Tasiilaq
Angoon|United States|AGN|Angoon
Magnolia|United States|AGO|Municipal
Malaga|Spain|AGP|Pablo Ruiz Picasso
Agrinion|Greece|AGQ|Agrinion
Agra|India|AGR|Kheria
Augusta|United States|AGS|Bush Field
Ciudad Del Este|Paraguay|AGT|Alejo Garcia
Aguascalientes|Mexico|AGU|Aguascalients
